5.149.120.0/21,UA,UA-30,Kyiv,
77.87.192.0/21,UA,UA-30,Kyiv,
78.27.192.0/19,UA,UA-30,Kyiv,
78.27.224.0/19,UA,UA-30,Kyiv,
89.184.64.0/22,UA,UA-30,Kyiv,
89.184.68.0/22,UA,UA-30,Kyiv,
89.184.72.0/21,UA,UA-30,Kyiv,
89.184.80.0/21,UA,UA-30,Kyiv,
89.184.88.0/21,UA,UA-30,Kyiv,
193.178.144.0/23,UA,UA-30,Kyiv,
193.178.146.0/23,UA,UA-30,Kyiv,
195.39.196.0/24,UA,UA-30,Kyiv,
195.39.197.0/24,UA,UA-30,Kyiv,
195.177.116.0/22,UA,UA-30,Kyiv,
195.234.112.0/22,UA,UA-30,Kyiv,
2a02:2278::/32,UA,UA-30,Kyiv,
2a02:2278:208::/48,UA,UA-30,Kyiv,
2a02:2279::/32,UA,UA-30,Kyiv,
2a07:af40::/29,UA,UA-30,Kyiv,
